Kindly_Rate_your_Sleep_Quality_sleep_quality,How_many_times_a_week_do_you_suffer_headaches_🤕?,How_would_you_rate_you_academic_performance_academic?,how_would_you_rate_your_study_load?,How_many_times_a_week_you_practice_extracurricular_activities_🎾?,How_would_you_rate_your_stress_levels?,Stress_Category
3,1,3,4,2,3,Medium
4,1,2,3,3,2,Low
2,1,2,1,4,4,Medium
3,2,3,2,3,3,Medium
2,3,1,5,5,3,Medium
3,1,3,2,1,1,Low
3,5,1,4,3,5,High
4,3,1,4,1,1,Low
2,1,4,4,5,1,Low
1,2,3,2,5,2,Low
2,3,5,5,2,4,Medium
3,1,5,1,4,1,Low
2,3,3,4,4,3,Medium
4,1,4,4,1,1,Low
4,1,3,2,5,2,Low
2,3,3,5,3,4,Medium
3,1,3,3,3,4,Medium
1,1,1,1,1,2,Low
2,1,3,1,2,3,Medium
2,3,3,2,3,4,Medium
3,4,2,2,1,2,Low
3,3,4,4,3,3,Medium
2,1,2,3,2,2,Low
3,1,4,4,2,3,Medium
5,1,4,2,1,1,Low
3,1,3,2,2,1,Low
5,1,5,1,5,5,High
5,5,5,1,1,1,Low
2,3,3,1,1,2,Low
3,4,2,1,3,1,Low
5,1,3,5,5,5,High
5,2,3,2,3,4,Medium
5,5,4,5,2,5,High
2,3,4,1,2,2,Low
4,1,5,4,5,2,Low
5,1,4,3,2,5,High
4,1,1,2,4,5,High
3,2,3,1,1,3,Medium
3,4,4,5,3,1,Low
3,1,4,4,4,3,Medium
4,4,3,2,2,2,Low
4,1,4,5,1,5,High
4,2,3,3,5,4,Medium
2,1,4,4,1,3,Medium
5,1,4,5,4,5,High
4,1,3,2,5,4,Medium
2,1,4,4,1,4,Medium
4,3,3,2,2,2,Low
3,3,4,4,4,3,Medium
1,1,1,2,3,1,Low
5,1,5,1,3,3,Medium
1,1,5,1,5,1,Low
3,2,3,2,5,2,Low
3,1,4,3,1,3,Medium
2,3,4,2,3,2,Low
3,2,4,5,4,5,High
3,1,3,3,3,3,Medium
3,2,4,3,3,3,Medium
5,2,4,4,4,2,Low
4,1,4,3,3,1,Low
5,2,3,1,1,4,Medium
3,2,5,4,2,4,Medium
4,3,3,4,2,2,Low
3,4,3,5,5,5,High
4,3,2,2,4,1,Low
1,3,3,2,2,4,Medium
3,3,5,3,4,1,Low
4,1,5,3,2,3,Medium
2,5,2,1,2,1,Low
3,5,2,1,1,1,Low
3,1,4,1,1,4,Medium
2,1,4,3,1,2,Low
4,1,3,1,1,4,Medium
4,2,5,1,5,1,Low
3,5,3,2,3,5,High
4,1,3,2,1,4,Medium
2,3,4,2,5,3,Medium
3,2,3,4,1,5,High
4,2,4,3,5,3,Medium
2,4,3,4,5,4,Medium
4,3,5,2,1,3,Medium
3,1,3,1,2,2,Low
1,2,3,3,1,4,Medium
3,3,1,1,1,1,Low
2,1,2,4,3,3,Medium
4,2,3,3,1,4,Medium
2,3,3,2,5,2,Low
4,4,2,3,1,3,Medium
3,2,4,5,1,5,High
1,3,2,2,1,1,Low
2,2,2,4,2,3,Medium
3,2,3,1,1,5,High
3,1,4,2,1,3,Medium
4,1,4,1,1,2,Low
5,5,3,1,1,1,Low
3,1,4,4,3,3,Medium
4,3,4,4,3,5,High
3,2,4,2,3,4,Medium
3,2,3,5,4,3,Medium
3,2,4,2,3,1,Low
2,4,3,2,1,2,Low
2,3,5,1,5,2,Low
3,4,3,5,2,5,High
5,1,5,5,5,4,Medium
3,1,3,4,2,3,Medium
4,1,2,3,3,2,Low
2,1,2,1,4,4,Medium
3,2,3,2,3,3,Medium
2,3,1,5,5,3,Medium
3,1,3,2,1,1,Low
3,5,1,4,3,5,High
4,3,1,4,1,1,Low
2,1,4,4,5,1,Low
1,2,3,2,5,2,Low
2,3,5,5,2,4,Medium
3,1,5,1,4,1,Low
2,3,3,4,4,3,Medium
4,1,4,4,1,1,Low
4,1,3,2,5,2,Low
2,3,3,5,3,4,Medium
3,1,3,3,3,4,Medium
1,1,1,1,1,2,Low
2,1,3,1,2,3,Medium
2,3,3,2,3,4,Medium
3,4,2,2,1,2,Low
3,3,4,4,3,3,Medium
2,1,2,3,2,2,Low
3,1,4,4,2,3,Medium
5,1,4,2,1,1,Low
3,1,3,2,2,1,Low
5,1,5,1,5,5,High
5,5,5,1,1,1,Low
2,3,3,1,1,2,Low
3,4,2,1,3,1,Low
5,1,3,5,5,5,High
5,2,3,2,3,4,Medium
5,5,4,5,2,5,High
2,3,4,1,2,2,Low
4,1,5,4,5,2,Low
5,1,4,3,2,5,High
4,1,1,2,4,5,High
3,2,3,1,1,3,Medium
3,4,4,5,3,1,Low
3,1,4,4,4,3,Medium
4,4,3,2,2,2,Low
4,1,4,5,1,5,High
4,2,3,3,5,4,Medium
2,1,4,4,1,3,Medium
5,1,4,5,4,5,High
4,1,3,2,5,4,Medium
2,1,4,4,1,4,Medium
4,3,3,2,2,2,Low
3,3,4,4,4,3,Medium
1,1,1,2,3,1,Low
5,1,5,1,3,3,Medium
1,1,5,1,5,1,Low
3,2,3,2,5,2,Low
3,1,4,3,1,3,Medium
2,3,4,2,3,2,Low
3,2,4,5,4,5,High
3,1,3,3,3,3,Medium
3,2,4,3,3,3,Medium
5,2,4,4,4,2,Low
4,1,4,3,3,1,Low
5,2,3,1,1,4,Medium
3,2,5,4,2,4,Medium
4,3,3,4,2,2,Low
3,4,3,5,5,5,High
4,3,2,2,4,1,Low
1,3,3,2,2,4,Medium
3,3,5,3,4,1,Low
4,1,5,3,2,3,Medium
2,5,2,1,2,1,Low
3,5,2,1,1,1,Low
3,1,4,1,1,4,Medium
2,1,4,3,1,2,Low
4,1,3,1,1,4,Medium
4,2,5,1,5,1,Low
3,5,3,2,3,5,High
4,1,3,2,1,4,Medium
2,3,4,2,5,3,Medium
3,2,3,4,1,5,High
4,2,4,3,5,3,Medium
2,4,3,4,5,4,Medium
4,3,5,2,1,3,Medium
3,1,3,1,2,2,Low
1,2,3,3,1,4,Medium
3,3,1,1,1,1,Low
2,1,2,4,3,3,Medium
4,2,3,3,1,4,Medium
2,3,3,2,5,2,Low
4,4,2,3,1,3,Medium
3,2,4,5,1,5,High
1,3,2,2,1,1,Low
2,2,2,4,2,3,Medium
3,2,3,1,1,5,High
3,1,4,2,1,3,Medium
4,1,4,1,1,2,Low
5,5,3,1,1,1,Low
3,1,4,4,3,3,Medium
4,3,4,4,3,5,High
3,2,4,2,3,4,Medium
3,2,3,5,4,3,Medium
3,2,4,2,3,1,Low
2,4,3,2,1,2,Low
2,3,5,1,5,2,Low
3,4,3,5,2,5,High
5,1,5,5,5,4,Medium
3,1,3,4,2,3,Medium
4,1,2,3,3,2,Low
2,1,2,1,4,4,Medium
3,2,3,2,3,3,Medium
2,3,1,5,5,3,Medium
3,1,3,2,1,1,Low
3,5,1,4,3,5,High
4,3,1,4,1,1,Low
2,1,4,4,5,1,Low
1,2,3,2,5,2,Low
2,3,5,5,2,4,Medium
3,1,5,1,4,1,Low
2,3,3,4,4,3,Medium
4,1,4,4,1,1,Low
4,1,3,2,5,2,Low
2,3,3,5,3,4,Medium
